state,date,division,index
Johor,2023/2/1,overall,133.4
Johor,2023/3/1,overall,133.4
Johor,2023/4/1,overall,133.3
Johor,2023/5/1,overall,133.5
Johor,2023/6/1,overall,133.7
Johor,2023/7/1,overall,133.8
Johor,2023/8/1,overall,134.1
Johor,2023/9/1,overall,134.2
Johor,2023/10/1,overall,134.2
Johor,2023/11/1,overall,134.3
Johor,2023/12/1,overall,134.6
Johor,2024/1/1,overall,134.9
Johor,2024/2/1,overall,135.4
Johor,2024/3/1,overall,135.4
Johor,2024/4/1,overall,135.4
Johor,2024/5/1,overall,136
Johor,2024/6/1,overall,136.4
Johor,2024/7/1,overall,136.4
Johor,2024/8/1,overall,136.5
Johor,2024/9/1,overall,136.6
Johor,2024/10/1,overall,136.8
Johor,2024/11/1,overall,136.8
Johor,2024/12/1,overall,137
Johor,2025/1/1,overall,137.4
Johor,2025/2/1,overall,138.3
Johor,2025/3/1,overall,138.2
Johor,2025/4/1,overall,138.4
Johor,2025/5/1,overall,138.4
Johor,2025/6/1,overall,138.5
Johor,2025/7/1,overall,138.9
Johor,2025/8/1,overall,139.2
Johor,2025/9/1,overall,139.4
Johor,2025/10/1,overall,139.4
Johor,2025/11/1,overall,139.4
Johor,2025/12/1,overall,140.1
Johor,2026/1/1,overall,140.3
Johor,2026/2/1,overall,140.6
Johor,2026/3/1,overall,140.9
Kedah,2010/1/1,overall,99.6
Kedah,2010/2/1,overall,99.5
Kedah,2010/3/1,overall,99.3
Kedah,2010/4/1,overall,99.3
Kedah,2010/5/1,overall,99.5
Kedah,2010/6/1,overall,99.7
Kedah,2010/7/1,overall,99.9
Kedah,2010/8/1,overall,100.2
Kedah,2010/9/1,overall,100.1
Kedah,2010/10/1,overall,100.6
Kedah,2010/11/1,overall,101
Kedah,2010/12/1,overall,101.3
Kedah,2011/1/1,overall,101.8
Kedah,2011/2/1,overall,102.3
Kedah,2011/3/1,overall,102.4
Kedah,2011/4/1,overall,102.6
Kedah,2011/5/1,overall,102.9
Kedah,2011/6/1,overall,103.1
Kedah,2011/7/1,overall,103.3
Kedah,2011/8/1,overall,103.4
Kedah,2011/9/1,overall,103.7
Kedah,2011/10/1,overall,104
Kedah,2011/11/1,overall,104.1
Kedah,2011/12/1,overall,104.2
Kedah,2012/1/1,overall,104.6
Kedah,2012/2/1,overall,104.5
Kedah,2012/3/1,overall,104.3
Kedah,2012/4/1,overall,104.4
Kedah,2012/5/1,overall,104.8
Kedah,2012/6/1,overall,105
Kedah,2012/7/1,overall,104.9
Kedah,2012/8/1,overall,105
Kedah,2012/9/1,overall,105.3
Kedah,2012/10/1,overall,105.7
Kedah,2012/11/1,overall,105.6
Kedah,2012/12/1,overall,105.6
Kedah,2013/1/1,overall,106.3
Kedah,2013/2/1,overall,106.3
Kedah,2013/3/1,overall,106.4
Kedah,2013/4/1,overall,106.5
Kedah,2013/5/1,overall,106.7
Kedah,2013/6/1,overall,106.8
Kedah,2013/7/1,overall,107.1
Kedah,2013/8/1,overall,107.2
Kedah,2013/9/1,overall,108.3
Kedah,2013/10/1,overall,108.7
Kedah,2013/11/1,overall,108.7
Kedah,2013/12/1,overall,109.1
Kedah,2014/1/1,overall,109.7
Kedah,2014/2/1,overall,110
Kedah,2014/3/1,overall,110.2
Kedah,2014/4/1,overall,110.1
Kedah,2014/5/1,overall,110
Kedah,2014/6/1,overall,110.1
Kedah,2014/7/1,overall,110.3
Kedah,2014/8/1,overall,110.4
Kedah,2014/9/1,overall,110.6
Kedah,2014/10/1,overall,111.4
Kedah,2014/11/1,overall,111.7
Kedah,2014/12/1,overall,111.6
Kedah,2015/1/1,overall,110.4
Kedah,2015/2/1,overall,109.6
Kedah,2015/3/1,overall,110.7
Kedah,2015/4/1,overall,111.5
Kedah,2015/5/1,overall,112.2
Kedah,2015/6/1,overall,112.8
Kedah,2015/7/1,overall,113.7
Kedah,2015/8/1,overall,113.5
Kedah,2015/9/1,overall,113.4
Kedah,2015/10/1,overall,113.9
Kedah,2015/11/1,overall,114.2
Kedah,2015/12/1,overall,114.1
Kedah,2016/1/1,overall,114
Kedah,2016/2/1,overall,113.6
Kedah,2016/3/1,overall,113
Kedah,2016/4/1,overall,113.5
Kedah,2016/5/1,overall,113.7
Kedah,2016/6/1,overall,114
Kedah,2016/7/1,overall,114.4
Kedah,2016/8/1,overall,114.8
Kedah,2016/9/1,overall,114.5
Kedah,2016/10/1,overall,114.9
Kedah,2016/11/1,overall,115.8
Kedah,2016/12/1,overall,116
Kedah,2017/1/1,overall,117.6
Kedah,2017/2/1,overall,119.1
Kedah,2017/3/1,overall,119
Kedah,2017/4/1,overall,118.6
Kedah,2017/5/1,overall,118.3
Kedah,2017/6/1,overall,118.1
Kedah,2017/7/1,overall,118
Kedah,2017/8/1,overall,119.1
Kedah,2017/9/1,overall,119.5
Kedah,2017/10/1,overall,119.2
Kedah,2017/11/1,overall,119.9
Kedah,2017/12/1,overall,120
Kedah,2018/1/1,overall,114.3
Kedah,2018/2/1,overall,114.5
Kedah,2018/3/1,overall,113.9
Kedah,2018/4/1,overall,119.8
Kedah,2018/5/1,overall,119.8
Kedah,2018/6/1,overall,118.5
Kedah,2018/7/1,overall,118.5
Kedah,2018/8/1,overall,118.7
Kedah,2018/9/1,overall,118.9
Kedah,2018/10/1,overall,119.1
Kedah,2018/11/1,overall,119.1
Kedah,2018/12/1,overall,119.3
Kedah,2019/1/1,overall,118.5
Kedah,2019/2/1,overall,118.8
Kedah,2019/3/1,overall,119.2
